Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,Type of target,Sector,Target Start Year,Baseline year,Baseline emissions (metric tonnes CO2e),Percentage reduction target,Target date,Estimated business as usual absolute emissions in target year (metric tonnes CO2e),Base year emissions per intensity unit (metric tonnes CO2e per denominator),​Intensity unit (emissions per),Percentage of target achieved so far,Comment,Population,Population Year,City Location,Last update,Water 2014 - Number of drivers
2018,55324,Município de Guimarães,Guimarães,Portugal,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,2013,2008,729469,20,2020,,,,100,"A redução do total de emissões por ano em Guimarães (-23,3% de 2008 para 2017) seguem uma tendência verificada no país  na sequência das políticas climáticas internacionais que Portugal tem adotado.Salienta-se, neste sentido, o facto de Portugal ter sido um dos primeiros países a ratificar o Acordo de Paris . Os valores premeiam ainda uma forte aposta na área das energias renováveis e pelo maior peso que elas passaram a ter na energia primária, para além de um aumento da utilização de fontes de energia mais sustentáveis: substituição de consumos de combustíveis petrolíferos por gás natural e aumento da utilização de biocombustíveis e solar térmico. Nestes resultados, Portugal beneficia também de uma tendência positiva recente na eficiência energética que deverá estar associada à redução de gastos energéticos circunstanciais relacionados com a crise económica dos últimos anos e com o retorno de um investimento em energias renováveis.Destaca-se ainda que o município de Guimarães se encontra a finalizar o Plano de ação para a energia sustentável e o clima de Guimarães, com  metas de redução de emissões de CO2 para 2030.No âmbito da implementação do Plano de Ação para a Sustentabilidade Energética e Climática foram estabelecidos os seguintes objetivos para 2030:-	 Redução de 39% dos consumos energéticos e de 42% das suas emissões.",154458,2016,"(41.4443, -8.29224)",2019-06-06T13:19:47.747,63
2018,58865,Jammerbugt Kommune,Jammerbugt,Denmark,Europe,CDP Cities,public,No target,,,,,,,,,,,,38500,2016,"(57.1453, 9.54153)",2019-06-06T13:19:47.747,
2018,54026,City of Tacoma,Tacoma,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2005,2000,1658939,80,2050,,,,28,,211277,2016,"(47.2529, -122.444)",2019-06-06T13:19:47.747,
2018,8242,City of Helsinki,Helsinki,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Intensity target,,,,,,,,,,,,644700,2017,"(60.1733, 24.941)",2019-06-06T13:19:47.747,
2018,73413,Commune de Cocody,Cocody,Côte d'Ivoire,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Business as usual target,,,,,,,,,,,,800,2014,"(5.3602, -3.9674)",2019-06-06T13:19:47.747,
2018,43926,City of Mannheim,Mannheim,Germany,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,,,1990,,40,2020,,,,,,312722,2015,"(49.4875, 8.46603)",2019-06-06T13:19:47.747,38
2018,35993,Singapore Government,Singapore,Singapore,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Business as usual target,,,,,,,,,,,,5610000,2017,"(1.35208, 103.82)",2019-06-06T13:19:47.747,
2018,60416,Municipalidad de San Isidro (Argentina),San Isidro (Argentina),Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,292.878,2010,"(-32.9775, -68.8122)",2019-06-06T13:19:47.747,231
2018,54457,Hansestadt Rostock,Rostock,Germany,Europe,"CDP Cities, Union of the Baltic Cities",public,Intensity target,,,,0,0,,,,,0,,,0,"(54.0887, 12.1405)",2019-06-06T13:19:47.747,
2018,31055,Glasgow City Council,Glasgow,United Kingdom of Great Britain and Northern Ireland,Europe,CDP Cities,public,Absolute target,,,2006,39873000,30,2020,,,,31,,598830,2017,"(55.8593, -4.21278)",2019-06-06T13:19:47.747,
2018,50550,City of Buffalo,"Buffalo, NY",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,258612,2017,"(42.8864, -78.8784)",2019-06-06T13:19:47.747,42
2018,55372,Prefeitura Municipal de Canoas,Canoas,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,341343,2015,"(-29.9133, -51.1862)",2019-06-06T13:19:47.747,
2018,43920,City of Ljubljana,Ljubljana,Slovenia,Europe,CDP Cities,public,Absolute target,Transportation,2012,2008,734613,30,2020,,,,42,Percentage reduction target and Percentage of target achieved so far is for all action thogether.,288307,2017,"(46.0569, 14.5058)",2019-06-06T13:19:47.747,43
2018,60679,"Town of Surfside, FL",Surfside,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,5811,2016,"(25.8789, -80.1233)",2019-06-06T13:19:47.747,
2018,54082,"City of Hollywood, FL",Hollywood,United States of America,North America,CDP Cities,public,No target,,,,,,,,,,,,143000,2016,"(26.0112, -80.1495)",2019-06-06T13:19:47.747,
2018,73295,"City of La Crosse, WI",La Crosse,United States of America,North America,CDP Cities,public,No target,,,,,,,,,,,,51320,2010,"(43.8014, -91.2396)",2019-06-06T13:19:47.747,46
2018,826100,Ayuntamiento de La Barca,La Barca,Mexico,Latin America,CDP Cities,public,No target,,,,,,,,,,,,85000,2017,"(20.2903, -102.546)",2019-06-06T13:19:47.747,120
2018,832009,Ayuntamiento de Xalapa,Xalapa,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,480841,2015,"(20.1318, -98.7556)",2019-06-06T13:19:47.747,117
2018,54111,City of Iowa City,Iowa City,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2016,2005,1285168,28,2025,,,,98,"In 2016, our mayor signed the Compact of Mayors, setting a city-wide target of reducing greenhouse gas emissions by 26-28% by 2025",74398,2016,"(41.6611, -91.5302)",2019-06-06T13:19:47.747,46
2018,36469,Comune dell'Aquila,L'Aquila,Italy,Europe,CDP Cities,public,No target,,,,,,,,,,,,,0,"(42.3505, 13.3995)",2019-06-06T13:19:47.747,
2018,31113,City of Yokohama,Yokohama,Japan,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2014,2005,19540000,16,2020,,,,85,,3731096,2017,"(35.4437, 139.638)",2019-06-06T13:19:47.747,
2018,60371,Alcaldía de Leticia,Leticia,Colombia,Latin America,CDP Cities,public,No target,,,,,,,,,,,,42280,2017,"(-4.21528, -69.9406)",2019-06-06T13:19:47.747,176
2018,69823,Visby,Visby,Sweden,Europe,"CDP Cities, Union of the Baltic Cities",public,,,,,,,,,,,,,58595,2017,"(57.6348, 18.2948)",2019-06-06T13:19:47.747,
2018,36252,Comune di Oristano,Oristano,Italy,Europe,CDP Cities,public,Business as usual target,,,,,,,,,,,,31630,2015,"(39.7207, 8.898)",2019-06-06T13:19:47.747,
2018,54116,City of Dubuque,Dubuque,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2013,2003,1266234,50,2030,,,,11,,5831,2016,"(42.5006, -90.5071)",2019-06-06T13:19:47.747,46
2018,42178,Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Business as usual target,Stationary energy (buildings),,2015,1988306,,,3503458,,,,,2239191,2010,"(-0.2333, -78.5167)",2019-06-06T13:19:47.747,
2018,35893,City of Dar es Salaam,Dar es Salaam,United Republic of Tanzania,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,6041000,2017,"(-6.79235, 39.2083)",2019-06-06T13:19:47.747,
2018,58636,"City of Bellingham, WA",Bellingham,United States of America,North America,CDP Cities,public,,,,,,,,,,,,,86570,2017,"(48.7519, -122.479)",2019-06-06T13:19:47.747,
2018,50551,City of Long Beach,Long Beach,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,470130,2017,"(33.7701, -118.194)",2019-06-06T13:19:47.747,
2018,31149,City of Athens,Athens,Greece,Europe,"CDP Cities, C40",public,Absolute target,Total city-wide emissions,2017,2014,5066334,40,2030,,,,13.3,"This great reduction is mainly due to the change of the factor of CO2 emissions from electricity, which has changed at a national level (see file GPC.xls)",664046,2011,"(37.9838, 23.7275)",2019-06-06T13:19:47.747,
2018,54092,City of Ann Arbor,Ann Arbor,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,2000,1681926,90,2050,,,,,,1177700,2017,"(42.2808, -83.743)",2019-06-06T13:19:47.747,42
2018,73252,Pemba Municipality,Pemba,Mozambique,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,No target,,,,,,,,,,,,201.846,2017,"(-12.9732, 40.5178)",2019-06-06T13:19:47.747,
2018,60284,Prefeitura de Angra dos Reis,Angra dos Reis,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,169.511,2010,"(-22.9983, -44.2442)",2019-06-06T13:19:47.747,
2018,36504,Comune di Rimini,Rimini,Italy,Europe,CDP Cities,public,Business as usual target,,,,,,,,,,,,148923,2016,"(44.0678, 12.5695)",2019-06-06T13:19:47.747,
2018,54409,City of Espoo,Espoo,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Absolute target,Total city-wide emissions,2017,,,,2030,,,,,"In 2017, the city of Espoo committed to be carbon neutral by 2030. Currently, the Climate plan 2016-2020 defines carbon neutrality as a state where produced carbon emissions do not surpass  the capacity of carbon sinks, such as soil or vegetation (page 4, The Climate Plan 2016-2020, see section 8.2a). At this moment,  the base year for emissions and reduction percentage target are not clearly defined. In the future, the current Climate Action Plan will be updated to match the  2030 goal.",279044,2017,"(60.2055, 24.6559)",2019-06-06T13:19:47.747,
2018,54102,City of Albany,Albany,United States of America,North America,CDP Cities,public,Absolute target,,,2009,,10,2030,,,,,,97856,2010,"(42.6526, -73.7562)",2019-06-06T13:19:47.747,57
2018,58357,City of West Hollywood,West Hollywood,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2008,2008,583213,25,2035,,,,58,,34399,2010,"(34.09, -118.362)",2019-06-06T13:19:47.747,
2018,31090,District of Columbia,"Washington, DC",United States of America,North America,"CDP Cities, C40",public,Absolute target,Total city-wide emissions,2012,2006,10535018,50,2032,,,,58,Target as laid out in the Sustainable DC plan,693972,2017,"(38.9072, -77.0369)",2019-06-06T13:19:47.747,
2018,43917,Sofia Municipality,Sofia,Bulgaria,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,2007,2007,5672432,22,2020,,,,,"The baseline emission inventory has been recalculated, including additional sectors and revised data and emission factors. 1. Industry (including ETS and non-ETS) - the fuel consumption and GHG emissions are reported together under Industry (non-ETS) 2. Stationary and mobile combustion in Agriculture and forestry. 3. Railways and aviation (local emissions only). The fuel consumption and emissions are reported under Not attributed to sectors (Transport). 4. Fugitive emissions from distribution of natural gas - reported under Non-energy related subsectors (Other)",1325429,2017,"(42.6977, 23.3219)",2019-06-06T13:19:47.747,64
2018,55371,Municipalidad de Vicente López,Vicente López,Argentina,Latin America,CDP Cities,public,No target,,,,,,,,,,,,270929,2010,"(-32.8941, -68.833)",2019-06-06T13:19:47.747,231
2018,1093,City of Atlanta,Atlanta,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Transportation,2015,2009,27266,20,2020,,,,,"Sharing mobility strategies, TOD, and parking strategies",450182,2017,"(33.749, -84.388)",2019-06-06T13:19:47.747,
2018,58310,City of Roanoke,Roanoke,United States of America,North America,CDP Cities,public,,,,,,,,,,,,,98465,2013,"(37.271, -79.9414)",2019-06-06T13:19:47.747,
2018,50560,City of Oakland,Oakland,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Waste,2010,2005,82977,36,2020,,,,61,,420000,2016,"(37.8044, -122.271)",2019-06-06T13:19:47.747,
2018,50568,City of Saskatoon,Saskatoon,Canada,North America,CDP Cities,public,Absolute target,Total city-wide emissions,,2014,3852171,80,2050,,,,,,265300,2016,"(52.1332, -106.67)",2019-06-06T13:19:47.747,21
2018,31182,City of San Francisco,San Francisco,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2000,1990,6201949,80,2050,,,,29,No comment,870887,2016,"(37.7749, -122.419)",2019-06-06T13:19:47.747,
2018,14088,City of Oslo,Oslo,Norway,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2016,1990,1200000,50,2020,,,,12.5,"The climate target for Oslo was in 2017 adjusted to 36% reduction of total emissions in 1990 by 2020, due to the lack of funding for CCS at our largest waste incineration plant. A 50% reduction target is first attainable after 2022, with CCS. A 12.5 %  target achievement is calculated with 2016-statistics in relation to the 50% target. If calculated in regards to the 36% reduction target, Oslo has a 24% target achievement i 2016.",673469,2017,"(59.9139, 10.7522)",2019-06-06T13:19:47.747,13
2018,43930,The Hague,The Hague,Netherlands,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,1990,1990,2499000,100,2030,,,,31,"CO2 emission in 2015: 1,714,937",525745,2017,"(52.0705, 4.3007)",2019-06-06T13:19:47.747,
2018,31175,City of Paris,Paris,France,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Total city-wide emissions,2018,2004,6259429,100,2050,,,,12,The percentage of target achieved so far is calculated on 2014 data,2265886,2015,"(48.8566, 2.35222)",2019-06-06T13:19:47.747,44
2018,74418,"Town of Breckenridge, CO",Breckenridge,United States of America,North America,CDP Cities,public,,,,,,,,,,,,,5035,2016,"(39.4817, 106.038)",2019-06-06T13:19:47.747,72
2018,1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2016,2005,4743380,45,2030,,,,0,"The Covenant of Mayors goal sets a 40%  reduction in 2030 taking as baseline the year 2005. Barcelona is more ambitious in order to be aligned to the Catalan Climate Change law, that sets a 40% of emission reduction but taking as a baseline 1990.",1604555,2015,"(41.3823, 2.1775)",2019-06-06T13:19:47.747,
2018,60361,Prefeitura de Tangará da Serra,Tangará da Serra,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,83.431,2010,"(-14.6194, -57.4858)",2019-06-06T13:19:47.747,213
2018,60347,Prefeitura da Estância Climática de São Bento do Sapucaí,São Bento do Sapucaí,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,11000,2017,"(-22.6874, -45.732)",2019-06-06T13:19:47.747,
2018,55801,City of West Palm Beach,West Palm Beach,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2013,2013,1484767,100,2050,,,,0,"We will be doing our next community-wide inventory in 2019 with Kim Lundgren and Associates, reporting on the 2018 calendar year.",108161,2017,"(26.7153, -80.0534)",2019-06-06T13:19:47.747,
2018,35755,Village of Kadiovacik,Kadiovacik,Turkey,Europe,CDP Cities,public,No target,,,,,,,,,,,,228,2017,"(38.3434, 26.5536)",2019-06-06T13:19:47.747,
2018,74531,Santa Fe County,Santa Fe County,United States of America,North America,CDP Cities,public,No target,,,,,,,,,,,,149790,2017,"(35.5, -106.0)",2019-06-06T13:19:47.747,90
2018,31175,City of Paris,Paris,France,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Waste,2018,2004,515794,30,2020,,,,43,The percentage of target achieved so far is calculated on 2014 data,2265886,2015,"(48.8566, 2.35222)",2019-06-06T13:19:47.747,44
2018,35883,City of San José,"San José, CA",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2018,2014,6900000,88,2050,,,,0,See page 65 of the Climate Smart San José plan at http://www.sanjoseca.gov/DocumentCenter/View/75035,1046079,2017,"(37.3382, -121.886)",2019-06-06T13:19:47.747,
2018,58485,Abington Township,Abington,United States of America,North America,CDP Cities,public,No target,,,,,,,,,,,,55310,2010,"(40.1241, -75.1195)",2019-06-06T13:19:47.747,
2018,58590,"City of Easton, PA",Easton,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2019,2016,350900,80,2050,,,,3,The City of Easton purchases 100% of renewable energy from Met-Ed for electricity amounting to roughly 3% of total emissions.,26996,2017,"(40.6884, -75.2207)",2019-06-06T13:19:47.747,
2018,35872,Municipality of Recife,Recife,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Business as usual target,Total city-wide emissions,2016,2012,3120425,19.62,2040,8272718,,,,,1633697,2017,"(-8.05783, -34.8829)",2019-06-06T13:19:47.747,
2018,60407,Municipalidad de Colina,Colina,Chile,Latin America,CDP Cities,public,No target,,,,,,,,,,,,,0,"(-33.2043, -70.684)",2019-06-06T13:19:47.747,
2018,49787,City of Benicia,Benicia,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Total city-wide emissions,2000,2000,,10,2020,,,,,,27780,2016,"(38.0494, -122.159)",2019-06-06T13:19:47.747,71
2018,32480,City of Adelaide,Adelaide,Australia,Southeast Asia and Oceania,CDP Cities,public,Absolute target,Total city-wide emissions,2015,2007,1148108,35,2020,,,,42.9,"Between FY2006/07 (base year) and FY2016/17, there has been a 15% reduction in total city-wide GHG emissions. CoA has a city-wide emission reduction target of 35% from the baseline FY2006/07 by 2020. As such the percentage of the target achieved so far is 42.9%.The CoA community GHG emissions for FY2006/07 (base year) have been recalculated and restated to ensure consistency with the latest calculation methodologies.Updates include: - Including GHG emissions from product use;- Recalculating FY2006/07 waste and transport GHG emissions in line with the GPC calculation methodology, released in 2014, to enable a robust comparison of base year emissions to current performance; and - Enhancing the approach used to calculate commercial waste GHG emissions. This inventory is reported in Q7.13. In addition to the absolute emission reduction target, the City of Adelaide has a target to achieve carbon neutrality by 2025.",23916,2017,"(-34.9285, 138.601)",2019-06-06T13:19:47.747,228
2018,60393,Municipalidad de Santiago,Santiago,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,,,,,,,,,,,404495,2017,"(-33.4489, -70.6693)",2019-06-06T13:19:47.747,
2018,60656,"City of Piedmont, CA",Piedmont,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2015,2005,48818,40,2030,,,,24,,11378,2017,"(37.8244, -122.232)",2019-06-06T13:19:47.747,
2018,826397,Munícipio de Portalegre,Portalegre,Portugal,Europe,CDP Cities,public,No target,,,,,,,,,,,,15374,1537,"(39.2914, -7.43235)",2019-06-06T13:19:47.747,80
2018,55331,Município de Ílhavo,Ílhavo,Portugal,Europe,CDP Cities,public,Absolute target,Other: Indústria,2008,2008,575,2.02,2020,,,,,,38598,2017,"(38.85, -7.58)",2019-06-06T13:19:47.747,80
2018,36477,Comune di Lucca,Lucca,Italy,Europe,CDP Cities,public,,,,,,,,,,,,,89874,0,"(43.8399, 10.6174)",2019-06-06T13:19:47.747,
2018,31117,City of Toronto,Toronto,Canada,North America,"CDP Cities, C40",public,Absolute target,Total city-wide emissions,,1990,27051617,80,2050,,,,30,,2731571,2016,"(43.6532, -79.3832)",2019-06-06T13:19:47.747,42
2018,35858,City of Cape Town,Cape Town,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Business as usual target,Stationary energy (buildings),2015,2012,20917934,9.3,2040,41769979,,,,Energy onlyPercentage achieved same as above 2030,4174510,2017,"(-33.9253, 18.4239)",2019-06-06T13:19:47.747,
2018,58671,Helsingør Kommune / Elsinore Municipality,Helsingør,Denmark,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,2010,2008,415000,20,2020,,,,100,"As a signatory of Covenant of Mayors (now Global Covenant of Mayors), Elsinore Municipality made a SEAP and committed itself to reduce the CO2eq emissions by at least 20 by 2020.",62686,2017,"(56.0308, 12.5921)",2019-06-06T13:19:47.747,
2018,19233,Município de Torres Vedras,Torres Vedras,Portugal,Europe,CDP Cities,public,Absolute target,,,2009,,29,2020,,,,,"Torres Vedras SEAP is an integrated plan to reduce emissions of the community and local government operations, the amount provided for emission reduction is a global value. In the plan are set 61 actions for the community and the local government operations.",79465,2011,"(38.7637, -9.30148)",2019-06-06T13:19:47.747,80
2018,43928,Canberra,Canberra,Australia,Southeast Asia and Oceania,CDP Cities,public,Absolute target,Total city-wide emissions,,1990,,100,2045,,,,,,415000,2017,"(-35.3075, 149.124)",2019-06-06T13:19:47.747,228
2018,50792,Ville de Monaco,Monaco,Monaco,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,2013,1990,99950,30,2020,,,,21.15,Pour l'année 2016,38300,2017,"(43.7374, 7.42081)",2019-06-06T13:19:47.747,
2018,54102,City of Albany,Albany,United States of America,North America,CDP Cities,public,Absolute target,,,2009,,20,2030,,,,,,97856,2010,"(42.6526, -73.7562)",2019-06-06T13:19:47.747,57
2018,35878,City of Sacramento,Sacramento,United States of America,North America,CDP Cities,public,Absolute target,,,2005,,83,2050,,,,,,495234,2016,"(38.5816, -121.494)",2019-06-06T13:19:47.747,71
2018,31164,Ho Chi Minh City,Ho Chi Minh,Viet Nam,Southeast Asia and Oceania,"CDP Cities, C40",public,,,,,,,,,,,,,8611000,2017,"(10.7626, 106.66)",2019-06-06T13:19:47.747,144
2018,59595,"City of Brisbane, CA","Brisbane, CA",United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2015,2005,72072,15,2020,,,,88,,4603,2015,"(37.6808, -122.4)",2019-06-06T13:19:47.747,
2018,60292,Prefeitura de Jahu,Jahu,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,,0,"(-22.3028, -48.5755)",2019-06-06T13:19:47.747,213
2018,36002,Ville de Kinshasa,Ville de Kinshasa,Democratic Republic of the Congo,Africa,CDP Cities,public,,,,,,,,,,,,,17071000,2017,"(-4.44193, 15.2663)",2019-06-06T13:19:47.747,156
2018,55418,City of Huntington Beach,Huntington Beach,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2020,2020,,53.33,2040,,,,,,202498,2016,"(33.6603, -117.999)",2019-06-06T13:19:47.747,
2018,60142,City of Kisumu,Kisumu,Kenya,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,No target,,,,,,,,,,,,968909,2009,"(-0.0917, 34.7679)",2019-06-06T13:19:47.747,108
2018,54615,Prefeitura da Estância Turística de São Roque,São Roque,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,88.473,2017,"(-23.5428, -47.1294)",2019-06-06T13:19:47.747,
2018,3429,City of Stockholm,Stockholm,Sweden,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,1990,3668000,100,2040,,,,35,City-wide emissions,935619,2016,"(59.3293, 18.0686)",2019-06-06T13:19:47.747,
2018,31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2006,2005,5920000,70,2030,,,,27,Baseline emissions were calculated based in GPC Basic+ S3 methodology,233219,2017,"(-33.8675, 151.207)",2019-06-06T13:19:47.747,
2018,60320,Prefeitura de Presidente Prudente,Presidente Prudente,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,225.271,2017,"(-22.1276, -51.3856)",2019-06-06T13:19:47.747,213
2018,55322,Município de Vila Nova de Famalicão,Vila Nova de Famalicão,Portugal,Europe,CDP Cities,public,No target,,,,,,,,,,,,133834,2011,"(41.381, -8.7476)",2019-06-06T13:19:47.747,63
2018,35878,City of Sacramento,Sacramento,United States of America,North America,CDP Cities,public,Absolute target,,,2005,,49,2035,,,,,,495234,2016,"(38.5816, -121.494)",2019-06-06T13:19:47.747,71
2018,50388,Prefeitura de Natal,Natal,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,869954,2015,"(-5.77925, -35.2009)",2019-06-06T13:19:47.747,
2018,43937,Wellington City Council,Wellington,New Zealand,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Total city-wide emissions,,2001,1105654,65,2040,,,,,,209102,2017,"(-41.2865, 174.776)",2019-06-06T13:19:47.747,
2018,60375,Gobiernación del Archipiélago de San Andrés,Archipiélago de San Andrés,Colombia,Latin America,CDP Cities,public,No target,,,,,,,,,,,,120000,2017,"(12.5794, -81.6976)",2019-06-06T13:19:47.747,
2018,54478,Gemeente Nijmegen,Nijmegen,Netherlands,Europe,CDP Cities,public,Intensity target,Stationary energy (buildings),2013,2008,,15,2020,,,Other: 11 PJ,14,i don't know wat base year emmissiens per intensity unit means!,175000,2017,"(51.8449, 5.84282)",2019-06-06T13:19:47.747,38
2018,35894,Ville de Montreal,Montréal,Canada,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,1990,14965,30,2020,,,,23,"Baseline emissions have been updated. Please refer to 2014 city-wide inventory produced in 2018 (http://ville.montreal.qc.ca/portal/page?_pageid=7237,112913600&_dad=portal&_schema=PORTAL)",1942044,2016,"(45.5087, -73.554)",2019-06-06T13:19:47.747,42
2018,58513,City of Medford,Medford,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,,2015,465879,100,2050,,,,,This is a regional commitment to carbon neutrality by 2050.,57797,2017,"(42.3265, -122.876)",2019-06-06T13:19:47.747,
2018,31117,City of Toronto,Toronto,Canada,North America,"CDP Cities, C40",public,Absolute target,Total city-wide emissions,,1990,27051617,30,2020,,,,100,,2731571,2016,"(43.6532, -79.3832)",2019-06-06T13:19:47.747,42
2018,35449,Stadt Zürich,Zürich,Switzerland,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,,2005,,28,2020,,,,,The baseline emission and the target emission are measured in tonnes CO2e per person per year.Target for 2050: 1.0 tonnes CO2e per person (18% of 2005)Target for 2035: 2.5 tonnes CO2e per person (45% of 2005)Target for 2020: 4.0 tonnes CO2e per person (72% of 2005),423310,2017,"(47.3686, 8.53918)",2019-06-06T13:19:47.747,38
2018,831616,Commune de Tsévié,Tsévié,Togo,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,,,,,,,,,,,,59000,2017,"(6.42611, 1.21333)",2019-06-06T13:19:47.747,
2018,35879,City of Minneapolis,Minneapolis,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2013,2006,5173279,30,2025,,,,68,"Minneapolis greenhouse gas (GHG) emissions from citywide activities decreased 20.4% in 2016 compared to the 2006 baseline, continuing a downward trajectory one year after exceeding the 2015 reduction goal of 15%.",419952,2016,"(44.9833, -93.2667)",2019-06-06T13:19:47.747,46
2018,50374,Alcaldia Distrital de Cartagena de Indias,Cartagena,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,971592,2010,"(10.4218, -75.5501)",2019-06-06T13:19:47.747,
2018,31150,Bangkok Metropolitan Administration,Bangkok,Thailand,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Business as usual target,Waste,,2013,4550000,,,4730000,,,,,5682415,2017,"(13.7712, 100.556)",2019-06-06T13:19:47.747,129
2018,54066,City of Fort Collins,Fort Collins,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,2005,2472391,100,2050,,,,15,,167492,2017,"(40.5853, -105.084)",2019-06-06T13:19:47.747,46
2018,31113,City of Yokohama,Yokohama,Japan,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Other,2014,2005,4390000,21,2020,,,,81,Residential,3731096,2017,"(35.4437, 139.638)",2019-06-06T13:19:47.747,
